CGPA,Backlogs,Branch,10th_Percentage,12th_Percentage,DSA_Score,Projects_Count,Certifications,Internships,Hackathons_Participated,Coding_Contest_Rating,Clubs,Leadership_Roles,Placed,Skill_Score,Activity_Score,Academic_Strength
8.1,4,ECE,73.62,79.16,67.86,1,5,3,1,1105,0,0,0,51.95799999999999,16.166666666666668,6.8999999999999995
6.39,1,CYBER,74.5,74.34,52.99,5,1,0,5,1425,1,0,1,39.03033333333333,57.49999999999999,6.09
5.94,3,CSE,86.1,81.18,30.95,6,4,0,0,945,3,2,1,40.218333333333334,34.833333333333336,5.040000000000001
7.32,1,CYBER,84.95,86.38,62.55,5,5,3,2,897,1,1,1,58.18722222222221,26.899999999999995,7.0200000000000005
6.77,4,IT,80.44,89.91,86.63,6,5,1,3,950,2,2,0,62.1001111111111,46.33333333333333,5.569999999999999
7.92,0,CSE,82.74,90.65,87.15,3,5,0,3,1058,0,1,1,52.74500000000001,31.6,7.92
5.39,2,CSE,67.12,60.09,59.08,0,3,2,4,1238,3,1,1,36.61288888888888,63.60000000000001,4.79
9.87,5,CSE,83.81,76.6,99.11,3,4,0,3,1382,2,1,0,56.66633333333333,55.733333333333334,8.37
9.93,5,MECH,78.99,70.49,55.96,4,2,3,4,1105,3,2,1,56.34355555555555,64.16666666666667,8.43
8.49,4,IT,73.21,67.52,63.44,5,0,0,1,1155,1,1,1,46.309777777777775,29.5,7.29
7.68,0,AIML,64.67,65.93,73.82,5,1,0,1,1601,1,2,1,43.646,49.36666666666667,7.68
6.55,3,MECH,80.27,77.49,57.63,1,1,2,2,1752,2,0,1,36.93344444444445,57.06666666666666,5.65
9.07,1,CSE,83.57,79.38,67.91,6,1,3,5,1018,2,1,1,57.79522222222222,55.60000000000001,8.77
8.42,1,CIVIL,62.98,68.17,45.61,6,2,2,1,1072,3,2,1,45.10522222222222,45.06666666666666,8.12
5.81,1,AIDS,80.18,82.84,14.94,4,5,1,4,800,3,0,0,37.84866666666667,44.0,5.51
9.55,3,CYBER,81.22,72.7,91.63,1,5,3,3,1354,1,1,1,60.25566666666666,48.13333333333333,8.65
9.11,5,CSE,74.46,79.37,77.93,1,0,0,1,1195,0,0,0,38.24566666666667,19.166666666666668,7.609999999999999
9.75,0,AIDS,83.8,86.33,94.28,5,4,2,1,1436,3,1,1,59.96177777777778,52.2,9.75
8.63,3,CYBER,78.67,81.31,61.9,2,2,2,4,1473,1,2,1,47.07,63.1,7.73
8.07,1,CSE,82.83,79.98,53.58,1,2,3,1,805,0,1,1,42.685111111111105,11.166666666666666,7.7700000000000005
7.09,4,CSE,85.34,84.41,63.09,6,3,2,3,1152,2,1,1,57.01588888888889,48.06666666666666,5.89
9.66,2,MECH,85.35,75.48,92.9,4,5,3,5,1281,2,2,1,68.99222222222222,69.36666666666666,9.06
9.33,3,CSE,90.17,94.5,69.52,5,2,1,3,1295,3,2,0,48.389333333333326,64.49999999999999,8.43
5.23,3,AIDS,83.38,78.39,69.67,3,2,3,5,1668,0,2,1,48.00099999999999,68.93333333333334,4.33
5.13,0,ECE,75.23,70.88,33.03,5,1,3,3,870,1,1,1,43.120111111111115,32.0,5.13
6.88,0,AIML,73.52,69.1,58.68,2,5,1,3,1376,3,0,1,43.87066666666667,57.2,6.88
9.05,3,MECH,69.37,78.37,71.36,5,3,1,0,1758,1,2,1,57.474666666666664,48.6,8.15
9.94,1,CSE,81.51,78.17,100.0,1,4,0,3,1146,0,0,1,45.55555555555556,29.533333333333335,9.639999999999999
5.75,2,CSE,93.21,97.92,60.41,2,0,2,0,1246,3,2,1,45.81188888888888,44.86666666666667,5.15
7.97,0,MECH,76.42,76.3,100.0,5,4,1,3,1442,0,2,1,57.177777777777784,49.4,7.97
6.9,1,CYBER,84.5,80.35,35.07,3,3,1,3,800,0,1,0,39.25433333333333,23.0,6.6000000000000005
9.85,4,CYBER,72.48,67.43,79.35,2,1,2,4,1470,0,2,0,53.49388888888888,56.333333333333336,8.65
9.21,0,IT,81.95,78.8,77.14,3,0,2,5,1623,1,0,1,42.75311111111111,64.1,9.21
9.19,1,IT,92.59,92.22,85.86,2,4,0,3,1129,2,1,1,47.54688888888889,47.300000000000004,8.889999999999999
7.34,1,CSE,86.86,89.87,47.95,2,5,0,1,1053,3,2,0,38.32944444444445,44.43333333333334,7.04
7.07,2,CIVIL,64.29,61.94,96.56,3,5,3,3,983,1,0,0,62.14577777777778,30.766666666666666,6.470000000000001
6.37,2,CSE,85.71,83.16,59.59,0,0,0,2,1514,0,1,1,27.98811111111111,40.8,5.7700000000000005
5.28,4,ECE,86.16,81.76,32.17,0,0,1,4,1320,1,0,0,19.206555555555553,48.0,4.08
9.32,1,CIVIL,81.73,75.76,73.8,5,0,1,4,982,0,1,1,45.75111111111111,35.06666666666666,9.02
9.06,5,AIML,86.68,80.29,66.56,0,2,2,3,980,0,1,1,37.01244444444445,28.999999999999996,7.5600000000000005
10.0,1,IT,71.66,76.61,100.0,1,3,0,2,1281,0,1,0,51.022222222222226,33.03333333333333,9.7
9.98,2,IT,80.63,77.99,98.41,4,5,3,5,1780,0,2,1,67.30077777777778,72.66666666666667,9.38
7.78,5,CIVIL,91.1,88.9,67.38,0,5,3,3,1215,1,1,1,47.36955555555555,43.5,6.28
8.84,0,CIVIL,90.2,86.87,69.49,1,3,3,1,1293,0,2,1,46.89144444444444,32.43333333333334,8.84
9.72,0,IT,85.48,83.9,95.14,4,1,3,4,1421,1,2,1,56.608666666666664,61.36666666666666,9.72
9.25,3,AIML,71.17,73.03,93.72,1,5,2,4,1780,1,2,1,60.19377777777778,73.33333333333333,8.35
6.24,2,AIDS,69.6,67.16,0.45,4,4,0,5,800,2,2,0,29.412777777777777,53.333333333333336,5.640000000000001
7.25,3,IT,81.15,82.05,76.62,6,1,0,2,1242,1,1,1,44.26377777777778,38.4,6.35
5.65,5,IT,81.81,88.9,56.29,6,4,0,0,1534,2,2,0,45.720333333333336,47.8,4.15
9.77,2,MECH,79.0,74.9,50.13,1,0,0,5,1500,2,0,1,31.772333333333336,66.66666666666666,9.17
8.03,4,CYBER,71.95,69.75,85.26,2,5,3,2,1013,2,0,0,64.03355555555555,32.43333333333334,6.829999999999999
6.14,1,CSE,84.37,87.57,93.22,5,4,3,1,966,1,1,0,69.97711111111113,23.2,5.84
8.36,4,CIVIL,81.1,88.59,80.43,4,4,2,2,1300,2,2,1,56.41788888888889,52.0,7.159999999999999
8.09,5,CIVIL,82.9,76.69,89.96,0,0,2,5,1544,3,0,1,44.38799999999999,74.8,6.59
6.79,2,IT,85.93,77.43,96.45,5,1,3,0,1477,0,0,1,59.501666666666665,22.56666666666667,6.19
5.57,5,CIVIL,77.26,77.26,38.73,0,4,1,1,910,1,2,0,28.163444444444448,26.333333333333332,4.07
8.36,1,AIML,75.11,74.59,32.14,6,5,0,1,1620,0,2,1,44.51977777777778,43.333333333333336,8.059999999999999
7.6,0,CSE,91.08,94.58,78.65,2,1,2,0,973,1,1,1,50.17277777777779,17.433333333333334,7.6
8.86,0,IT,72.43,75.16,66.86,6,1,3,3,834,2,0,1,51.95799999999999,32.46666666666667,8.86
7.6,5,ECE,75.31,75.14,38.02,4,3,0,2,1436,3,1,0,35.106,58.20000000000001,6.1
9.26,3,AIDS,92.34,97.59,72.24,6,5,0,5,1135,2,0,1,59.73866666666666,54.50000000000001,8.36
7.76,2,AIML,74.53,71.12,80.85,6,5,3,1,1814,1,2,1,73.255,56.46666666666667,7.16
7.8,2,ECE,79.01,80.07,63.54,3,0,1,5,1143,2,0,0,39.150888888888886,54.766666666666666,7.2
9.38,0,CYBER,75.88,69.8,58.68,0,0,1,2,1077,3,0,1,27.470666666666666,41.233333333333334,9.38
7.02,4,MECH,62.17,61.96,58.12,2,2,2,0,1340,0,0,0,51.1471111111111,18.000000000000004,5.819999999999999
5.67,1,MECH,78.77,71.46,55.46,3,5,3,4,1434,0,2,1,51.837999999999994,55.13333333333333,5.37
5.14,4,IT,69.89,64.31,14.63,1,1,2,0,1621,2,2,0,28.388999999999996,50.7,3.9399999999999995
8.78,4,IT,82.55,91.09,68.52,0,2,1,2,1501,1,0,0,38.00044444444444,42.03333333333333,7.579999999999999
8.1,5,IT,91.06,81.93,41.12,6,5,2,1,1427,1,0,1,50.535999999999994,33.56666666666667,6.6
8.52,0,MECH,60.0,60.0,83.28,5,0,2,2,1143,0,2,1,52.083999999999996,33.43333333333334,8.52
6.06,0,CSE,75.93,80.07,26.6,4,0,1,4,1321,3,2,0,24.579999999999995,71.36666666666666,6.06
5.68,0,AIML,84.52,95.63,76.16,3,5,0,1,1468,2,2,1,46.57022222222223,51.6,5.68
5.07,5,CSE,60.0,60.89,44.68,6,2,0,4,949,2,0,0,38.39288888888889,42.29999999999999,3.5700000000000003
6.75,3,IT,93.36,94.53,50.41,2,0,1,3,800,0,1,0,31.078555555555553,23.0,5.85
7.95,4,MECH,83.8,84.0,73.14,4,0,0,5,995,1,1,1,40.88644444444444,48.166666666666664,6.75
6.96,5,CYBER,90.83,96.12,44.99,1,3,3,0,970,2,2,0,37.830333333333336,29.000000000000004,5.46
7.19,2,CSE,74.36,76.52,69.01,4,4,0,3,1187,1,1,1,46.94744444444445,42.56666666666666,6.590000000000001
9.52,1,IT,75.57,72.69,60.46,6,5,1,2,1426,1,0,1,57.0491111111111,39.53333333333333,9.219999999999999
6.74,3,AIML,78.39,83.97,50.07,6,3,3,3,1434,0,1,0,56.36544444444445,44.13333333333333,5.84
7.57,2,IT,100.0,97.69,73.46,2,4,2,0,1792,1,1,1,50.571333333333335,44.73333333333333,6.970000000000001
8.92,4,IT,93.18,85.19,49.32,2,5,1,1,1275,3,1,0,44.796,46.833333333333336,7.72
6.98,0,AIDS,81.32,73.35,37.13,2,3,1,5,800,3,2,1,34.65011111111111,60.0,6.98
8.11,4,CSE,82.54,81.54,73.02,6,3,0,4,995,0,0,0,55.661555555555545,30.5,6.909999999999999
9.31,5,ECE,86.35,86.86,73.52,1,5,3,1,1199,2,2,1,56.06711111111111,42.63333333333333,7.8100000000000005
9.75,1,ECE,100.0,100.0,79.61,2,1,1,5,1619,1,1,1,49.53855555555556,68.96666666666667,9.45
5.74,5,IT,83.83,87.03,62.73,4,2,3,3,1400,3,2,1,49.507888888888886,68.0,4.24
9.63,3,IT,80.46,80.86,76.81,6,5,3,2,1056,0,0,1,67.843,20.533333333333335,8.73
7.46,3,CSE,76.61,81.67,76.96,0,3,0,3,951,0,0,1,39.82133333333333,23.033333333333335,6.5600000000000005
6.29,1,IT,82.35,82.41,60.9,0,1,1,0,1014,1,0,1,30.214444444444442,13.8,5.99
7.3,2,CSE,74.13,67.68,23.83,3,3,3,0,800,0,0,0,43.32677777777777,0.0,6.7
9.9,2,CYBER,84.96,77.42,42.04,5,2,3,2,1074,2,1,1,46.26755555555555,39.46666666666667,9.3
7.46,3,ECE,65.67,72.07,99.82,4,1,2,5,1533,1,1,1,55.690444444444445,66.10000000000001,6.5600000000000005
6.64,3,ECE,77.39,66.17,60.72,1,5,0,1,1292,2,1,0,40.282666666666664,40.733333333333334,5.74
8.17,0,AIDS,87.35,86.34,87.34,3,4,1,0,1194,3,1,1,62.06866666666667,38.13333333333333,8.17
6.2,2,CIVIL,83.69,98.6,51.59,5,2,3,0,1166,3,1,1,46.48811111111111,37.2,5.6000000000000005
5.38,1,CSE,75.37,77.67,53.24,2,0,0,2,800,3,2,0,28.438666666666666,42.00000000000001,5.08
5.64,2,AIML,77.68,76.64,46.65,4,5,1,1,928,3,0,0,49.150555555555556,30.26666666666667,5.04
5.64,0,IT,90.35,81.93,90.7,2,5,3,3,1447,0,1,1,59.28777777777777,44.56666666666666,5.64
5.76,5,CSE,67.9,75.98,61.36,4,5,1,4,1882,2,0,0,58.852444444444444,73.4,4.26
5.69,3,CYBER,67.95,74.02,45.27,6,1,1,2,1530,0,0,0,45.581,36.33333333333333,4.790000000000001
8.2,3,MECH,70.7,74.13,35.49,0,0,0,1,800,0,1,1,16.402555555555555,11.0,7.299999999999999
5.91,0,ECE,79.89,79.89,92.05,2,1,0,4,1614,3,1,0,47.44833333333333,76.13333333333334,5.91
6.73,1,IT,66.43,69.29,57.88,6,4,2,2,1242,2,0,1,58.0751111111111,40.06666666666666,6.430000000000001
9.48,3,MECH,89.53,88.79,89.8,3,1,2,3,1410,1,0,1,53.995555555555555,44.99999999999999,8.58
7.37,4,IT,70.76,65.89,81.47,4,5,2,3,2000,1,0,1,56.318777777777775,64.66666666666667,6.17
8.34,3,AIML,82.24,87.03,59.93,6,3,3,1,1054,1,2,1,58.85677777777778,31.133333333333336,7.4399999999999995
5.86,4,IT,74.21,73.96,70.26,4,0,2,1,1410,2,2,1,46.84466666666666,49.66666666666666,4.66
5.96,0,AIDS,79.35,81.95,45.22,1,0,1,3,1357,3,0,1,29.199333333333332,56.56666666666668,5.96
5.2,0,MECH,63.97,63.36,33.71,2,1,0,3,860,3,2,0,25.824111111111108,50.0,5.2
5.84,3,AIDS,90.01,92.32,80.01,3,3,1,2,900,2,0,0,46.74744444444444,28.666666666666664,4.9399999999999995
6.39,2,CYBER,70.39,70.31,56.3,4,3,0,5,800,3,0,0,36.23444444444444,50.0,5.79
5.89,4,CIVIL,69.34,68.88,67.3,3,1,0,5,1313,2,1,0,40.967777777777776,65.43333333333334,4.6899999999999995
5.44,1,IT,100.0,100.0,62.94,0,2,1,1,1484,2,0,0,30.49311111111111,42.13333333333333,5.140000000000001
5.6,3,IT,85.54,100.0,68.27,0,4,1,4,1404,1,1,1,39.281,55.800000000000004,4.699999999999999
7.3,1,IT,89.62,93.64,32.89,3,1,3,3,1223,1,1,1,40.80033333333334,43.76666666666666,7.0
6.03,3,AIDS,84.59,97.52,45.95,5,5,0,4,1230,0,0,1,45.92944444444444,38.33333333333333,5.130000000000001
6.82,2,AIDS,75.48,75.43,55.12,0,3,2,1,928,2,2,0,39.00266666666666,33.599999999999994,6.220000000000001
7.52,2,ECE,66.93,65.39,48.46,3,4,3,1,1134,1,0,1,48.67133333333334,23.799999999999997,6.92
8.45,2,CSE,77.01,71.64,78.34,2,1,2,0,1480,1,0,1,41.99088888888888,29.333333333333332,7.85
5.2,5,ECE,70.22,78.23,77.22,1,4,3,3,1427,1,2,0,50.977111111111114,55.56666666666666,3.7
9.0,2,CIVIL,70.82,66.29,99.39,0,2,0,5,1889,3,1,1,41.28366666666666,91.3,8.4
8.14,0,ECE,64.17,73.22,61.41,6,3,1,5,1032,1,2,1,50.30077777777778,54.39999999999999,8.14
5.41,0,CYBER,81.14,76.06,60.38,3,2,1,1,1033,3,0,0,41.114,33.766666666666666,5.41
9.37,5,AIML,95.73,100.0,83.25,3,2,0,1,1106,1,0,0,45.65277777777778,22.866666666666667,7.869999999999999
9.6,4,CSE,85.58,77.63,87.95,3,3,1,3,940,3,2,1,57.684999999999995,52.666666666666664,8.4
5.31,1,ECE,78.94,76.73,36.46,5,5,0,0,1267,3,2,0,42.07133333333333,45.56666666666666,5.01
6.38,3,ECE,79.59,79.7,94.42,0,2,0,0,1373,1,2,0,49.59266666666666,35.766666666666666,5.48
9.03,3,IT,60.0,60.0,91.19,6,1,0,0,1283,2,1,1,53.14588888888889,34.43333333333333,8.129999999999999
8.74,5,CSE,75.76,74.92,90.26,3,1,3,0,1107,0,2,1,53.578,20.233333333333338,7.24
5.92,0,CSE,65.73,64.91,81.18,4,4,1,2,1471,0,0,1,53.93177777777777,34.36666666666667,5.92
6.05,3,AIDS,81.34,85.38,68.42,3,1,3,3,1247,2,2,1,52.781555555555556,56.23333333333333,5.15
6.85,0,ECE,77.4,66.97,41.22,4,1,2,3,1570,1,0,1,43.86599999999999,50.33333333333334,6.85
7.42,4,ECE,71.31,68.49,61.83,1,4,0,3,1216,2,1,0,36.51566666666667,50.2,6.22
8.09,1,AIML,81.12,87.39,34.94,4,0,1,5,1200,1,1,1,32.993111111111105,55.00000000000001,7.79
6.84,4,CYBER,81.03,83.85,70.02,1,3,2,0,1722,1,2,0,43.63933333333333,47.4,5.64
7.31,5,CSE,95.19,100.0,60.68,0,1,0,0,1104,1,0,0,34.748444444444445,16.8,5.81
8.74,2,MECH,86.86,90.66,70.38,6,4,2,5,1122,1,1,1,60.73622222222221,52.400000000000006,8.14
5.18,2,ECE,82.17,76.75,77.5,6,2,3,5,1715,1,2,0,54.97222222222222,77.16666666666666,4.58
6.26,2,CYBER,70.52,73.83,49.67,5,2,3,1,800,2,1,1,47.38988888888889,24.333333333333336,5.66
8.57,4,CYBER,69.27,69.77,65.29,5,5,1,2,1149,2,2,1,53.35366666666667,46.96666666666667,7.37
9.48,3,CIVIL,85.99,97.33,75.32,2,1,2,5,1191,0,0,0,45.284888888888894,43.03333333333333,8.58
7.56,1,IT,78.0,82.01,28.49,1,3,2,3,800,1,2,1,32.26922222222222,34.66666666666667,7.26
7.66,2,AIDS,82.49,85.11,60.48,3,4,3,2,1361,2,0,1,49.08844444444445,44.03333333333334,7.0600000000000005
5.54,5,CSE,89.78,93.13,5.46,2,5,3,5,800,2,1,0,34.41577777777778,48.333333333333336,4.04
7.24,5,CSE,64.87,67.21,51.97,1,5,1,3,1191,1,0,0,37.41322222222222,37.7,5.74
7.66,2,IT,93.97,96.18,82.92,4,4,0,0,1035,1,0,1,53.220444444444446,14.500000000000002,7.0600000000000005
6.21,2,CSE,89.69,88.36,67.51,0,4,1,0,1323,2,1,1,39.675222222222224,35.766666666666666,5.61
6.35,1,IT,60.0,62.68,47.33,5,4,3,3,1761,1,0,1,60.33233333333333,56.699999999999996,6.05
6.89,2,AIDS,100.0,100.0,62.75,4,4,1,4,1198,3,0,1,48.16944444444444,57.266666666666666,6.29
5.1,1,AIML,83.21,88.52,31.5,5,3,0,0,1055,2,2,1,36.58333333333333,31.833333333333336,4.8
6.61,5,IT,75.21,79.91,60.51,0,4,3,1,846,0,0,0,41.28633333333334,7.533333333333333,5.11
6.06,2,IT,85.19,92.73,92.79,4,3,0,5,1617,1,2,0,53.014777777777766,73.9,5.46
6.64,4,IT,70.23,75.84,95.69,5,3,1,0,1353,3,0,1,68.19588888888889,38.43333333333334,5.4399999999999995
5.6,4,IT,85.46,88.6,56.55,1,3,0,1,1301,0,1,1,33.242777777777775,27.700000000000003,4.3999999999999995
9.45,5,CSE,72.07,66.35,77.97,2,2,3,2,1575,0,0,1,52.190999999999995,37.833333333333336,7.949999999999999
7.97,1,AIML,100.0,94.28,47.75,1,0,3,0,1084,0,0,1,32.891666666666666,9.466666666666669,7.67
8.4,4,IT,80.6,79.36,53.44,6,5,0,5,1473,1,0,0,53.087555555555554,59.099999999999994,7.2
8.95,1,ECE,86.5,86.73,79.47,5,1,1,0,1623,0,2,1,48.129888888888885,37.43333333333333,8.649999999999999
7.49,4,CSE,72.14,79.13,54.46,3,2,1,5,1274,2,1,1,42.06022222222222,64.13333333333334,6.29
5.43,4,AIDS,88.16,74.27,72.76,4,0,1,2,1324,2,1,1,43.016888888888886,47.79999999999999,4.2299999999999995
7.69,1,CYBER,79.87,74.71,97.32,2,5,1,5,1395,1,0,1,60.82933333333334,56.50000000000001,7.390000000000001
7.93,3,AIML,65.88,64.91,73.82,4,2,2,1,1438,1,0,1,54.79044444444444,33.93333333333333,7.029999999999999
8.73,4,CYBER,77.61,72.63,73.17,4,5,2,4,1421,0,2,1,57.484333333333325,54.699999999999996,7.53
7.16,2,IT,99.31,95.32,29.68,3,3,0,5,800,1,1,1,34.304,41.666666666666664,6.5600000000000005
5.64,5,IT,88.59,86.09,70.64,3,3,2,5,1052,2,0,1,49.75866666666667,51.733333333333334,4.14
6.42,3,CIVIL,76.21,71.48,36.72,5,4,2,1,1371,2,0,1,45.80488888888889,38.366666666666674,5.52
6.82,1,ECE,61.31,60.0,53.22,1,3,2,3,1241,2,1,1,41.632666666666665,51.03333333333333,6.5200000000000005
8.23,3,MECH,71.68,78.49,87.84,5,2,0,3,1274,1,0,1,53.27422222222222,40.46666666666667,7.33
7.85,0,CSE,65.94,69.01,87.36,1,5,2,3,1865,2,0,1,52.06355555555555,66.83333333333333,7.85
6.78,0,CSE,61.55,65.37,52.07,2,1,1,5,1404,1,1,1,36.998777777777775,61.8,6.78
9.93,4,MECH,87.86,87.69,68.98,3,5,1,2,1569,3,2,1,50.47177777777778,67.63333333333334,8.73
8.03,4,MECH,80.62,85.68,53.66,6,3,0,1,1102,0,0,0,41.60911111111111,16.066666666666666,6.829999999999999
6.19,2,CYBER,97.95,100.0,34.47,1,5,0,5,1188,3,0,1,35.75211111111112,62.93333333333333,5.590000000000001
5.51,5,CSE,70.02,73.02,42.35,0,0,0,0,1087,2,1,0,19.316111111111113,27.900000000000002,4.01
5.76,3,MECH,79.98,76.71,24.06,6,5,3,5,800,0,1,0,48.90688888888888,35.0,4.859999999999999
6.23,0,CSE,66.06,63.85,72.31,0,2,2,3,1321,2,2,1,46.437444444444445,58.699999999999996,6.23
5.8,4,CSE,74.05,79.34,64.41,1,0,0,1,1205,2,2,1,41.50077777777778,42.833333333333336,4.6
5.93,5,ECE,77.78,75.2,68.37,6,4,0,0,1220,3,0,0,51.98877777777777,34.0,4.43
6.43,3,CSE,76.25,69.81,40.54,6,4,0,1,1400,2,2,0,48.0731111111111,49.33333333333333,5.529999999999999
5.87,4,IT,80.54,77.86,32.93,2,5,1,2,1031,0,2,0,35.75677777777777,29.700000000000003,4.67
9.48,4,IT,89.72,97.51,75.99,5,1,0,3,1301,2,2,0,47.64144444444444,58.033333333333324,8.280000000000001
5.4,0,IT,88.66,85.99,55.79,5,2,1,4,1215,0,0,1,45.67033333333333,37.83333333333333,5.4
7.62,0,CSE,72.31,73.94,62.67,3,1,1,5,1364,3,2,1,37.778777777777776,78.8,7.62
7.05,4,CSE,79.7,76.62,56.97,1,0,3,3,1274,1,2,1,33.24655555555556,50.46666666666667,5.85
9.91,1,CSE,87.94,91.76,100.0,3,1,0,3,1606,2,2,1,50.0,68.19999999999999,9.61
5.56,4,CSE,90.36,93.04,63.82,6,0,3,2,834,3,1,1,51.92377777777777,38.13333333333333,4.359999999999999
6.99,5,CIVIL,73.39,65.93,97.45,5,1,0,0,1430,2,2,1,49.879444444444445,44.333333333333336,5.49
9.85,4,IT,87.08,88.42,100.0,5,4,2,3,1366,0,2,1,68.75555555555555,46.86666666666667,8.65
9.33,2,IT,83.31,74.9,100.0,3,2,0,0,1005,2,1,1,54.955555555555556,25.166666666666664,8.73
9.09,2,IT,69.34,66.57,51.44,4,1,0,0,800,1,1,1,34.82088888888889,11.666666666666666,8.49
6.29,2,CIVIL,88.0,87.94,70.81,0,5,0,2,1066,2,0,0,35.831888888888884,34.199999999999996,5.69
5.85,1,AIDS,81.52,90.75,48.14,5,0,0,3,945,1,0,1,35.03088888888889,29.5,5.55
8.34,1,CYBER,62.59,64.18,35.95,5,5,0,5,1008,1,1,0,40.285000000000004,48.6,8.04
9.65,4,CYBER,77.06,73.23,100.0,4,2,0,2,1438,2,0,1,54.266666666666666,46.599999999999994,8.450000000000001
7.78,2,ECE,80.4,78.81,60.55,0,5,3,2,1351,3,2,1,43.92055555555555,60.36666666666667,7.180000000000001
7.86,1,CIVIL,73.94,78.56,45.69,3,4,2,4,800,2,0,0,42.562555555555555,37.33333333333333,7.5600000000000005
6.4,0,MECH,92.28,88.51,51.21,1,4,3,5,885,1,2,1,43.096333333333334,49.5,6.4
8.85,4,IT,92.64,98.13,55.81,6,3,2,2,918,3,2,0,52.809666666666665,45.93333333333334,7.6499999999999995
5.94,5,IT,76.18,73.56,43.3,0,2,3,4,1081,1,2,0,36.63444444444445,50.03333333333333,4.44
6.62,3,IT,75.08,70.5,56.16,2,1,3,0,1189,1,1,0,46.60355555555555,24.633333333333336,5.720000000000001
7.13,4,AIML,78.69,76.23,97.75,4,4,0,5,1688,2,0,1,57.20277777777778,72.93333333333332,5.93
7.54,3,MECH,78.0,69.92,51.86,5,1,3,5,884,0,0,1,53.59133333333334,32.800000000000004,6.640000000000001
6.21,2,CYBER,74.07,63.21,91.75,2,1,2,0,1591,2,1,1,48.96944444444444,44.7,5.61
5.57,3,IT,60.0,60.0,72.35,5,0,1,1,862,0,1,1,47.571666666666665,13.066666666666665,4.67
8.05,2,ECE,97.55,97.21,75.69,1,5,2,5,1284,0,0,1,46.462555555555554,46.13333333333333,7.450000000000001
6.44,0,CSE,80.0,81.29,74.68,5,1,3,1,1439,2,1,1,63.39288888888889,45.63333333333333,6.44
7.91,3,CSE,78.22,77.78,67.3,6,3,1,0,1427,0,1,1,53.312222222222225,25.900000000000002,7.01
5.77,4,AIDS,83.25,94.9,82.08,5,2,0,3,1818,1,2,1,48.435111111111105,68.60000000000001,4.569999999999999
7.41,2,MECH,79.2,80.04,75.87,6,2,1,1,1993,3,2,1,52.40544444444445,75.76666666666667,6.8100000000000005
7.66,4,IT,75.7,68.81,32.52,5,0,0,2,1184,2,2,0,29.100444444444445,48.133333333333326,6.46
5.26,1,AIDS,69.94,64.34,59.72,5,3,2,5,803,0,1,1,51.40488888888889,35.099999999999994,4.96
6.68,2,IT,61.61,61.62,76.59,6,5,1,1,2000,1,1,0,55.821444444444445,57.66666666666668,6.08
5.67,3,AIML,66.46,64.28,50.08,6,3,1,5,1493,3,2,0,49.001777777777775,83.10000000000001,4.77
5.32,2,IT,68.83,62.69,56.61,2,2,1,0,1492,0,2,0,41.76077777777778,33.06666666666666,4.720000000000001
9.95,4,IT,86.51,86.21,64.99,4,3,0,3,1097,0,0,1,50.43033333333333,27.900000000000002,8.75
6.61,0,IT,87.25,87.03,33.01,1,5,0,0,1028,1,2,0,32.825222222222216,24.266666666666666,6.61
9.05,2,CSE,71.18,79.16,41.74,3,4,2,3,861,3,2,0,49.07755555555555,50.03333333333333,8.450000000000001
6.27,3,CSE,60.0,60.0,28.12,3,1,2,5,1242,3,0,0,33.62488888888889,64.73333333333333,5.369999999999999
8.41,1,CIVIL,80.09,78.0,82.92,5,1,3,1,1176,1,0,1,64.15377777777778,25.2,8.11
8.8,5,AIDS,75.78,83.75,21.7,5,2,0,2,1224,3,0,0,34.13222222222222,46.13333333333333,7.300000000000001
7.98,0,CYBER,75.54,77.18,54.06,6,2,2,2,948,2,0,1,45.85133333333333,30.266666666666666,7.98
7.36,1,CSE,89.56,84.95,48.98,3,5,1,0,1430,3,1,1,39.80511111111112,46.0,7.0600000000000005
7.06,2,MECH,81.39,77.81,57.15,6,3,1,5,1271,0,0,1,49.956111111111106,45.7,6.46
6.74,4,CSE,70.24,64.17,24.09,6,5,1,3,1402,3,0,0,44.34922222222222,58.06666666666666,5.54
9.65,4,CSE,67.94,68.32,83.82,0,0,2,1,1953,2,1,1,36.79044444444444,62.76666666666667,8.450000000000001
9.15,3,CIVIL,77.37,82.53,47.8,3,2,1,3,1224,2,0,1,39.82888888888889,45.46666666666667,8.25
9.83,4,MECH,70.94,79.09,99.27,1,2,1,3,1806,0,0,1,46.925444444444445,51.533333333333346,8.63
5.62,0,CSE,79.28,71.84,43.17,1,2,0,3,1527,0,0,1,30.184333333333335,42.233333333333334,5.62
8.65,4,CSE,90.26,94.61,68.86,0,5,0,5,1238,2,1,0,37.658,62.93333333333333,7.45
9.69,3,AIML,66.2,67.02,76.03,6,5,2,1,1358,1,2,1,66.37566666666666,41.26666666666667,8.79
5.91,5,CSE,80.88,79.57,61.92,1,3,0,5,1291,2,0,0,31.58711111111111,59.699999999999996,4.41
5.33,2,ECE,89.15,87.06,54.9,1,4,3,3,1044,3,0,1,44.04777777777779,46.13333333333333,4.73
8.71,2,MECH,79.14,69.53,62.49,6,2,2,5,1084,0,0,1,48.92477777777777,39.46666666666667,8.110000000000001
7.87,4,CSE,87.22,90.41,73.72,5,4,3,2,1636,1,0,1,66.3048888888889,46.53333333333333,6.67
