CGPA,Backlogs,Branch,10th_Percentage,12th_Percentage,skills,DSA_Score,Projects_Count,Certifications,Internships,Hackathons_Participated,Coding_Contest_Rating,Clubs,Leadership_Roles,Placed
5.46,4,AIML,71.31,72.9,"[{""skill"": ""java"", ""level"": ""Advanced""}, {""skill"": ""ai"", ""level"": ""Advanced""}, {""skill"": ""python"", ""level"": ""Beginner""}, {""skill"": ""leadership"", ""level"": ""Advanced""}]",44.03,0,4,0,4,800,1,1,1
6.6,2,MECH,67.74,66.07,"[{""skill"": ""data science"", ""level"": ""Beginner""}, {""skill"": ""css"", ""level"": ""Expert""}, {""skill"": ""teamwork"", ""level"": ""Beginner""}, {""skill"": ""dsa"", ""level"": ""Intermediate""}]",70.47,4,2,2,5,1677,1,1,1
9.75,5,AIML,92.86,96.43,"[{""skill"": ""management"", ""level"": ""Advanced""}, {""skill"": ""leadership"", ""level"": ""Intermediate""}, {""skill"": ""git"", ""level"": ""Intermediate""}, {""skill"": ""sql"", ""level"": ""Expert""}]",65.81,3,1,2,5,1047,3,2,0
9.75,3,AIML,81.54,84.1,"[{""skill"": ""devops"", ""level"": ""Intermediate""}, {""skill"": ""presentation"", ""level"": ""Intermediate""}, {""skill"": ""dsa"", ""level"": ""Intermediate""}, {""skill"": ""excel"", ""level"": ""Advanced""}]",53.48,6,5,2,3,929,3,1,1
7.87,1,ECE,85.19,81.71,"[{""skill"": ""python"", ""level"": ""Beginner""}, {""skill"": ""css"", ""level"": ""Intermediate""}, {""skill"": ""presentation"", ""level"": ""Advanced""}, {""skill"": ""management"", ""level"": ""Beginner""}, {""skill"": ""dsa"", ""level"": ""Advanced""}]",62.93,1,4,2,4,1101,0,0,1
8.16,1,CSE,90.18,87.65,"[{""skill"": ""css"", ""level"": ""Expert""}, {""skill"": ""management"", ""level"": ""Expert""}, {""skill"": ""cloud"", ""level"": ""Intermediate""}]",62.31,2,3,3,2,1484,0,1,1
7.24,2,CSE,60.0,60.0,"[{""skill"": ""docker"", ""level"": ""Advanced""}, {""skill"": ""management"", ""level"": ""Advanced""}, {""skill"": ""react"", ""level"": ""Advanced""}, {""skill"": ""cloud"", ""level"": ""Intermediate""}, {""skill"": ""teamwork"", ""level"": ""Beginner""}]",51.87,3,1,1,0,1079,2,0,1
6.47,0,IT,86.35,90.1,"[{""skill"": ""sql"", ""level"": ""Advanced""}, {""skill"": ""react"", ""level"": ""Intermediate""}, {""skill"": ""teamwork"", ""level"": ""Intermediate""}]",49.05,0,4,2,5,1495,1,1,1
6.64,0,CYBER,72.39,73.59,"[{""skill"": ""cloud"", ""level"": ""Advanced""}, {""skill"": ""data science"", ""level"": ""Beginner""}, {""skill"": ""leadership"", ""level"": ""Expert""}, {""skill"": ""css"", ""level"": ""Beginner""}]",84.41,3,5,0,2,1223,3,2,0
8.36,5,IT,73.71,80.7,"[{""skill"": ""management"", ""level"": ""Advanced""}, {""skill"": ""figma"", ""level"": ""Advanced""}, {""skill"": ""cloud"", ""level"": ""Intermediate""}]",62.92,6,4,1,1,815,0,2,0
8.76,5,IT,84.37,82.38,"[{""skill"": ""machine learning"", ""level"": ""Advanced""}, {""skill"": ""docker"", ""level"": ""Expert""}, {""skill"": ""communication"", ""level"": ""Advanced""}, {""skill"": ""java"", ""level"": ""Beginner""}, {""skill"": ""c++"", ""level"": ""Intermediate""}]",48.63,6,5,2,2,893,1,0,1
8.96,5,ECE,76.37,80.94,"[{""skill"": ""testing"", ""level"": ""Advanced""}, {""skill"": ""c++"", ""level"": ""Intermediate""}, {""skill"": ""teamwork"", ""level"": ""Intermediate""}]",63.05,2,0,2,0,1009,1,1,0
8.95,0,AIML,85.95,80.6,"[{""skill"": ""react"", ""level"": ""Beginner""}, {""skill"": ""git"", ""level"": ""Intermediate""}, {""skill"": ""teamwork"", ""level"": ""Intermediate""}, {""skill"": ""css"", ""level"": ""Intermediate""}]",73.33,3,0,0,1,1461,2,0,1
5.46,1,CSE,79.59,66.07,"[{""skill"": ""node"", ""level"": ""Advanced""}, {""skill"": ""machine learning"", ""level"": ""Beginner""}, {""skill"": ""excel"", ""level"": ""Intermediate""}, {""skill"": ""management"", ""level"": ""Advanced""}, {""skill"": ""presentation"", ""level"": ""Intermediate""}]",28.05,0,4,3,3,903,1,2,1
7.47,0,CSE,81.68,81.21,"[{""skill"": ""java"", ""level"": ""Beginner""}, {""skill"": ""python"", ""level"": ""Intermediate""}, {""skill"": ""management"", ""level"": ""Intermediate""}, {""skill"": ""html"", ""level"": ""Expert""}, {""skill"": ""c++"", ""level"": ""Advanced""}]",97.38,4,2,0,1,1033,0,0,1
5.29,4,CSE,75.1,72.26,"[{""skill"": ""c++"", ""level"": ""Advanced""}, {""skill"": ""communication"", ""level"": ""Advanced""}, {""skill"": ""testing"", ""level"": ""Advanced""}, {""skill"": ""figma"", ""level"": ""Intermediate""}]",71.29,5,0,3,4,856,2,0,0
7.75,3,AIML,69.35,64.1,"[{""skill"": ""devops"", ""level"": ""Expert""}, {""skill"": ""git"", ""level"": ""Intermediate""}, {""skill"": ""presentation"", ""level"": ""Intermediate""}, {""skill"": ""figma"", ""level"": ""Intermediate""}, {""skill"": ""ai"", ""level"": ""Beginner""}]",94.84,0,4,3,0,974,3,1,0
7.21,5,CIVIL,72.6,77.09,"[{""skill"": ""docker"", ""level"": ""Beginner""}, {""skill"": ""css"", ""level"": ""Beginner""}, {""skill"": ""presentation"", ""level"": ""Intermediate""}, {""skill"": ""ai"", ""level"": ""Advanced""}, {""skill"": ""management"", ""level"": ""Intermediate""}]",71.38,2,5,3,4,2000,2,2,1
9.44,1,IT,78.97,85.01,"[{""skill"": ""git"", ""level"": ""Intermediate""}, {""skill"": ""sql"", ""level"": ""Intermediate""}, {""skill"": ""c++"", ""level"": ""Advanced""}]",32.82,3,1,2,2,839,1,2,1
6.75,2,CSE,98.37,98.9,"[{""skill"": ""html"", ""level"": ""Intermediate""}, {""skill"": ""management"", ""level"": ""Intermediate""}, {""skill"": ""data science"", ""level"": ""Expert""}, {""skill"": ""c++"", ""level"": ""Beginner""}]",91.98,3,5,2,3,1493,1,1,1
5.59,2,IT,94.72,93.81,"[{""skill"": ""devops"", ""level"": ""Intermediate""}, {""skill"": ""c++"", ""level"": ""Advanced""}, {""skill"": ""html"", ""level"": ""Advanced""}, {""skill"": ""teamwork"", ""level"": ""Intermediate""}]",38.16,6,3,3,0,800,0,1,1
5.71,3,CSE,73.47,73.78,"[{""skill"": ""git"", ""level"": ""Advanced""}, {""skill"": ""leadership"", ""level"": ""Beginner""}, {""skill"": ""management"", ""level"": ""Intermediate""}, {""skill"": ""python"", ""level"": ""Advanced""}]",40.43,6,0,3,3,1470,1,1,1
8.81,1,AIML,80.6,77.34,"[{""skill"": ""ai"", ""level"": ""Intermediate""}, {""skill"": ""git"", ""level"": ""Beginner""}, {""skill"": ""cybersecurity"", ""level"": ""Intermediate""}, {""skill"": ""c++"", ""level"": ""Advanced""}]",74.66,0,4,2,5,1016,3,2,1
8.09,0,CYBER,77.12,79.94,"[{""skill"": ""machine learning"", ""level"": ""Advanced""}, {""skill"": ""presentation"", ""level"": ""Beginner""}, {""skill"": ""docker"", ""level"": ""Beginner""}]",95.52,1,0,3,0,1939,0,2,1
5.51,0,ECE,81.3,73.61,"[{""skill"": ""management"", ""level"": ""Advanced""}, {""skill"": ""testing"", ""level"": ""Intermediate""}, {""skill"": ""teamwork"", ""level"": ""Intermediate""}, {""skill"": ""python"", ""level"": ""Intermediate""}]",76.09,1,5,2,4,1872,1,1,1
5.42,4,AIDS,82.59,77.22,"[{""skill"": ""data science"", ""level"": ""Intermediate""}, {""skill"": ""sql"", ""level"": ""Advanced""}, {""skill"": ""presentation"", ""level"": ""Beginner""}, {""skill"": ""html"", ""level"": ""Advanced""}, {""skill"": ""teamwork"", ""level"": ""Advanced""}, {""skill"": ""css"", ""level"": ""Intermediate""}]",72.73,4,5,3,2,929,3,0,0
8.5,4,IT,85.28,81.32,"[{""skill"": ""sql"", ""level"": ""Beginner""}, {""skill"": ""dsa"", ""level"": ""Advanced""}, {""skill"": ""css"", ""level"": ""Intermediate""}, {""skill"": ""excel"", ""level"": ""Intermediate""}, {""skill"": ""leadership"", ""level"": ""Advanced""}, {""skill"": ""presentation"", ""level"": ""Expert""}]",63.79,6,1,2,1,1591,0,2,1
5.36,0,CYBER,60.0,62.71,"[{""skill"": ""communication"", ""level"": ""Beginner""}, {""skill"": ""data science"", ""level"": ""Beginner""}, {""skill"": ""python"", ""level"": ""Advanced""}, {""skill"": ""html"", ""level"": ""Intermediate""}, {""skill"": ""java"", ""level"": ""Intermediate""}]",47.77,0,2,0,3,1702,1,1,1
9.11,2,AIDS,83.66,82.15,"[{""skill"": ""docker"", ""level"": ""Beginner""}, {""skill"": ""management"", ""level"": ""Advanced""}, {""skill"": ""node"", ""level"": ""Beginner""}, {""skill"": ""teamwork"", ""level"": ""Beginner""}, {""skill"": ""testing"", ""level"": ""Intermediate""}]",79.97,6,4,3,0,900,3,1,1
8.53,5,ECE,76.01,82.81,"[{""skill"": ""docker"", ""level"": ""Intermediate""}, {""skill"": ""leadership"", ""level"": ""Advanced""}, {""skill"": ""cybersecurity"", ""level"": ""Intermediate""}]",67.55,3,1,3,0,838,3,0,1
5.41,2,CYBER,72.95,76.97,"[{""skill"": ""html"", ""level"": ""Intermediate""}, {""skill"": ""python"", ""level"": ""Advanced""}, {""skill"": ""node"", ""level"": ""Advanced""}]",72.32,1,3,0,5,862,2,1,1
5.42,4,IT,87.94,83.94,"[{""skill"": ""leadership"", ""level"": ""Advanced""}, {""skill"": ""cybersecurity"", ""level"": ""Advanced""}, {""skill"": ""figma"", ""level"": ""Advanced""}]",71.22,6,4,1,3,974,0,0,0
9.93,3,IT,94.67,97.84,"[{""skill"": ""css"", ""level"": ""Advanced""}, {""skill"": ""docker"", ""level"": ""Advanced""}, {""skill"": ""machine learning"", ""level"": ""Advanced""}, {""skill"": ""presentation"", ""level"": ""Intermediate""}]",88.99,6,3,3,1,1043,2,0,1
6.87,0,CSE,86.89,84.85,"[{""skill"": ""git"", ""level"": ""Intermediate""}, {""skill"": ""devops"", ""level"": ""Advanced""}, {""skill"": ""data science"", ""level"": ""Intermediate""}, {""skill"": ""teamwork"", ""level"": ""Intermediate""}]",11.34,5,2,1,2,856,3,2,1
6.85,4,ECE,74.81,77.18,"[{""skill"": ""html"", ""level"": ""Advanced""}, {""skill"": ""teamwork"", ""level"": ""Advanced""}, {""skill"": ""machine learning"", ""level"": ""Advanced""}, {""skill"": ""css"", ""level"": ""Intermediate""}]",64.33,5,4,0,0,839,2,1,0
9.06,4,CYBER,69.24,73.5,"[{""skill"": ""machine learning"", ""level"": ""Intermediate""}, {""skill"": ""presentation"", ""level"": ""Beginner""}, {""skill"": ""data science"", ""level"": ""Expert""}, {""skill"": ""excel"", ""level"": ""Intermediate""}]",70.64,5,4,3,0,1461,2,2,1
9.74,5,AIML,60.0,65.57,"[{""skill"": ""figma"", ""level"": ""Expert""}, {""skill"": ""testing"", ""level"": ""Intermediate""}, {""skill"": ""cloud"", ""level"": ""Advanced""}, {""skill"": ""management"", ""level"": ""Advanced""}, {""skill"": ""leadership"", ""level"": ""Intermediate""}]",79.54,6,1,1,3,1307,2,2,1
9.93,0,CIVIL,81.83,82.84,"[{""skill"": ""java"", ""level"": ""Expert""}, {""skill"": ""react"", ""level"": ""Advanced""}, {""skill"": ""leadership"", ""level"": ""Intermediate""}, {""skill"": ""git"", ""level"": ""Advanced""}, {""skill"": ""excel"", ""level"": ""Intermediate""}]",62.06,6,0,3,3,1338,0,2,1
8.77,5,AIDS,85.79,93.79,"[{""skill"": ""figma"", ""level"": ""Advanced""}, {""skill"": ""presentation"", ""level"": ""Intermediate""}, {""skill"": ""java"", ""level"": ""Advanced""}, {""skill"": ""communication"", ""level"": ""Beginner""}]",44.84,2,4,3,0,1433,1,1,1
6.88,0,AIDS,78.98,81.19,"[{""skill"": ""figma"", ""level"": ""Intermediate""}, {""skill"": ""react"", ""level"": ""Intermediate""}, {""skill"": ""data science"", ""level"": ""Intermediate""}, {""skill"": ""docker"", ""level"": ""Intermediate""}]",71.17,3,2,2,0,1335,2,1,1
5.42,5,CSE,89.34,90.01,"[{""skill"": ""excel"", ""level"": ""Advanced""}, {""skill"": ""git"", ""level"": ""Intermediate""}, {""skill"": ""data science"", ""level"": ""Intermediate""}, {""skill"": ""presentation"", ""level"": ""Intermediate""}]",47.46,5,4,1,5,1070,1,1,0
8.89,2,ECE,66.8,65.29,"[{""skill"": ""management"", ""level"": ""Intermediate""}, {""skill"": ""data science"", ""level"": ""Intermediate""}, {""skill"": ""css"", ""level"": ""Expert""}, {""skill"": ""teamwork"", ""level"": ""Intermediate""}, {""skill"": ""git"", ""level"": ""Intermediate""}]",83.42,6,4,2,0,1071,0,2,1
7.79,3,CSE,78.29,75.13,"[{""skill"": ""c++"", ""level"": ""Advanced""}, {""skill"": ""css"", ""level"": ""Intermediate""}, {""skill"": ""communication"", ""level"": ""Beginner""}]",53.04,3,4,2,4,1434,1,0,1
7.12,3,CIVIL,77.5,79.6,"[{""skill"": ""presentation"", ""level"": ""Intermediate""}, {""skill"": ""ai"", ""level"": ""Beginner""}, {""skill"": ""leadership"", ""level"": ""Intermediate""}, {""skill"": ""figma"", ""level"": ""Intermediate""}, {""skill"": ""excel"", ""level"": ""Intermediate""}]",91.42,0,4,1,0,1438,0,2,0
9.53,0,AIML,78.9,79.4,"[{""skill"": ""ai"", ""level"": ""Beginner""}, {""skill"": ""leadership"", ""level"": ""Intermediate""}, {""skill"": ""teamwork"", ""level"": ""Intermediate""}, {""skill"": ""html"", ""level"": ""Advanced""}]",95.18,0,2,1,2,1442,1,0,1
5.56,1,CSE,91.68,92.98,"[{""skill"": ""git"", ""level"": ""Beginner""}, {""skill"": ""teamwork"", ""level"": ""Intermediate""}, {""skill"": ""sql"", ""level"": ""Advanced""}]",61.22,6,1,2,2,1025,0,1,1
7.46,4,CYBER,78.95,81.36,"[{""skill"": ""ai"", ""level"": ""Beginner""}, {""skill"": ""machine learning"", ""level"": ""Advanced""}, {""skill"": ""teamwork"", ""level"": ""Intermediate""}, {""skill"": ""node"", ""level"": ""Advanced""}]",60.55,1,0,3,5,1293,3,1,1
5.06,4,CIVIL,77.05,78.34,"[{""skill"": ""management"", ""level"": ""Beginner""}, {""skill"": ""node"", ""level"": ""Advanced""}, {""skill"": ""docker"", ""level"": ""Beginner""}, {""skill"": ""presentation"", ""level"": ""Beginner""}, {""skill"": ""sql"", ""level"": ""Intermediate""}]",69.83,1,2,3,1,1015,0,2,1
7.34,0,MECH,70.63,80.7,"[{""skill"": ""data science"", ""level"": ""Expert""}, {""skill"": ""machine learning"", ""level"": ""Expert""}, {""skill"": ""leadership"", ""level"": ""Expert""}]",72.07,4,2,0,3,1353,1,0,1
5.28,5,ECE,93.29,90.65,"[{""skill"": ""node"", ""level"": ""Expert""}, {""skill"": ""python"", ""level"": ""Expert""}, {""skill"": ""ai"", ""level"": ""Advanced""}, {""skill"": ""figma"", ""level"": ""Advanced""}, {""skill"": ""html"", ""level"": ""Beginner""}, {""skill"": ""communication"", ""level"": ""Advanced""}]",58.68,1,3,3,1,1114,2,1,1
5.59,1,ECE,65.69,67.85,"[{""skill"": ""node"", ""level"": ""Expert""}, {""skill"": ""management"", ""level"": ""Intermediate""}, {""skill"": ""git"", ""level"": ""Intermediate""}, {""skill"": ""cybersecurity"", ""level"": ""Intermediate""}, {""skill"": ""ai"", ""level"": ""Intermediate""}, {""skill"": ""html"", ""level"": ""Intermediate""}]",76.33,6,0,1,0,1496,3,1,0
5.59,2,CSE,74.47,73.33,"[{""skill"": ""communication"", ""level"": ""Advanced""}, {""skill"": ""machine learning"", ""level"": ""Intermediate""}, {""skill"": ""testing"", ""level"": ""Intermediate""}, {""skill"": ""cloud"", ""level"": ""Advanced""}]",83.97,3,1,1,3,921,2,2,0
8.25,5,IT,96.94,84.63,"[{""skill"": ""node"", ""level"": ""Intermediate""}, {""skill"": ""cybersecurity"", ""level"": ""Advanced""}, {""skill"": ""management"", ""level"": ""Intermediate""}, {""skill"": ""sql"", ""level"": ""Intermediate""}]",43.68,6,5,0,0,1133,1,2,1
8.73,5,CSE,84.68,83.72,"[{""skill"": ""devops"", ""level"": ""Intermediate""}, {""skill"": ""communication"", ""level"": ""Intermediate""}, {""skill"": ""excel"", ""level"": ""Advanced""}, {""skill"": ""c++"", ""level"": ""Intermediate""}, {""skill"": ""management"", ""level"": ""Advanced""}]",50.14,3,1,1,3,1362,2,2,0
7.92,0,MECH,79.8,75.12,"[{""skill"": ""node"", ""level"": ""Beginner""}, {""skill"": ""management"", ""level"": ""Intermediate""}, {""skill"": ""html"", ""level"": ""Intermediate""}, {""skill"": ""teamwork"", ""level"": ""Advanced""}]",51.48,6,5,2,5,1180,2,0,1
9.81,0,CSE,80.22,79.88,"[{""skill"": ""communication"", ""level"": ""Advanced""}, {""skill"": ""docker"", ""level"": ""Expert""}, {""skill"": ""java"", ""level"": ""Intermediate""}, {""skill"": ""sql"", ""level"": ""Intermediate""}, {""skill"": ""html"", ""level"": ""Expert""}]",46.51,5,3,0,4,800,0,0,1
6.87,4,AIDS,70.54,70.4,"[{""skill"": ""cybersecurity"", ""level"": ""Advanced""}, {""skill"": ""docker"", ""level"": ""Intermediate""}, {""skill"": ""data science"", ""level"": ""Advanced""}, {""skill"": ""management"", ""level"": ""Advanced""}, {""skill"": ""excel"", ""level"": ""Intermediate""}]",60.62,2,3,0,4,980,1,1,0
6.43,0,MECH,79.31,81.24,"[{""skill"": ""css"", ""level"": ""Advanced""}, {""skill"": ""leadership"", ""level"": ""Beginner""}, {""skill"": ""docker"", ""level"": ""Beginner""}, {""skill"": ""management"", ""level"": ""Intermediate""}, {""skill"": ""data science"", ""level"": ""Advanced""}]",71.65,6,2,3,4,1638,2,2,1
9.34,0,CIVIL,76.5,73.85,"[{""skill"": ""dsa"", ""level"": ""Expert""}, {""skill"": ""management"", ""level"": ""Beginner""}, {""skill"": ""leadership"", ""level"": ""Beginner""}, {""skill"": ""java"", ""level"": ""Intermediate""}]",73.79,6,1,3,5,1248,2,1,1
6.12,0,ECE,81.8,79.77,"[{""skill"": ""java"", ""level"": ""Expert""}, {""skill"": ""sql"", ""level"": ""Advanced""}, {""skill"": ""react"", ""level"": ""Intermediate""}, {""skill"": ""presentation"", ""level"": ""Intermediate""}, {""skill"": ""html"", ""level"": ""Intermediate""}, {""skill"": ""excel"", ""level"": ""Intermediate""}]",47.41,2,5,2,1,891,2,0,0
9.82,4,MECH,64.94,68.44,"[{""skill"": ""teamwork"", ""level"": ""Beginner""}, {""skill"": ""html"", ""level"": ""Beginner""}, {""skill"": ""node"", ""level"": ""Intermediate""}, {""skill"": ""java"", ""level"": ""Intermediate""}]",99.11,3,1,2,3,1772,1,1,1
5.06,2,AIML,83.98,79.93,"[{""skill"": ""excel"", ""level"": ""Intermediate""}, {""skill"": ""node"", ""level"": ""Intermediate""}, {""skill"": ""java"", ""level"": ""Intermediate""}]",55.61,2,5,3,1,1643,3,1,1
9.85,2,CSE,90.17,80.97,"[{""skill"": ""cybersecurity"", ""level"": ""Expert""}, {""skill"": ""teamwork"", ""level"": ""Expert""}, {""skill"": ""figma"", ""level"": ""Intermediate""}]",83.61,6,1,3,3,964,2,2,1
5.22,0,IT,77.96,78.75,"[{""skill"": ""leadership"", ""level"": ""Intermediate""}, {""skill"": ""communication"", ""level"": ""Beginner""}, {""skill"": ""html"", ""level"": ""Beginner""}]",76.66,6,2,2,0,1132,2,1,0
9.46,4,CYBER,86.47,91.83,"[{""skill"": ""teamwork"", ""level"": ""Advanced""}, {""skill"": ""c++"", ""level"": ""Advanced""}, {""skill"": ""cybersecurity"", ""level"": ""Advanced""}, {""skill"": ""figma"", ""level"": ""Beginner""}]",72.31,3,5,3,4,1158,3,2,1
7.64,2,CSE,83.1,86.55,"[{""skill"": ""docker"", ""level"": ""Intermediate""}, {""skill"": ""management"", ""level"": ""Beginner""}, {""skill"": ""html"", ""level"": ""Expert""}, {""skill"": ""cybersecurity"", ""level"": ""Expert""}, {""skill"": ""python"", ""level"": ""Intermediate""}, {""skill"": ""sql"", ""level"": ""Intermediate""}]",100.0,6,1,0,4,1560,3,1,1
9.96,5,CSE,73.92,74.8,"[{""skill"": ""git"", ""level"": ""Advanced""}, {""skill"": ""cybersecurity"", ""level"": ""Intermediate""}, {""skill"": ""figma"", ""level"": ""Intermediate""}, {""skill"": ""management"", ""level"": ""Advanced""}]",68.37,4,4,2,3,1188,3,1,1
5.37,2,ECE,69.41,75.67,"[{""skill"": ""c++"", ""level"": ""Intermediate""}, {""skill"": ""css"", ""level"": ""Intermediate""}, {""skill"": ""teamwork"", ""level"": ""Intermediate""}, {""skill"": ""excel"", ""level"": ""Advanced""}, {""skill"": ""communication"", ""level"": ""Expert""}]",89.34,6,3,3,1,1383,2,0,1
7.77,2,CSE,70.82,76.23,"[{""skill"": ""html"", ""level"": ""Intermediate""}, {""skill"": ""devops"", ""level"": ""Intermediate""}, {""skill"": ""ai"", ""level"": ""Intermediate""}, {""skill"": ""leadership"", ""level"": ""Advanced""}]",46.85,6,3,1,1,1090,0,0,1
9.85,4,MECH,82.93,81.27,"[{""skill"": ""leadership"", ""level"": ""Advanced""}, {""skill"": ""react"", ""level"": ""Intermediate""}, {""skill"": ""testing"", ""level"": ""Advanced""}, {""skill"": ""sql"", ""level"": ""Advanced""}]",87.08,6,5,1,2,1995,1,1,0
7.62,5,IT,79.44,80.68,"[{""skill"": ""presentation"", ""level"": ""Intermediate""}, {""skill"": ""management"", ""level"": ""Intermediate""}, {""skill"": ""figma"", ""level"": ""Advanced""}, {""skill"": ""devops"", ""level"": ""Advanced""}]",52.73,1,3,2,4,1336,2,1,0
8.15,4,AIDS,92.75,94.2,"[{""skill"": ""git"", ""level"": ""Advanced""}, {""skill"": ""sql"", ""level"": ""Advanced""}, {""skill"": ""ai"", ""level"": ""Beginner""}]",90.63,1,3,1,4,1265,3,2,1
8.48,0,CYBER,87.91,87.47,"[{""skill"": ""sql"", ""level"": ""Advanced""}, {""skill"": ""leadership"", ""level"": ""Intermediate""}, {""skill"": ""excel"", ""level"": ""Advanced""}, {""skill"": ""testing"", ""level"": ""Beginner""}]",60.33,2,4,1,1,1118,3,0,1
7.27,3,CIVIL,87.89,93.56,"[{""skill"": ""ai"", ""level"": ""Beginner""}, {""skill"": ""presentation"", ""level"": ""Intermediate""}, {""skill"": ""excel"", ""level"": ""Expert""}, {""skill"": ""communication"", ""level"": ""Intermediate""}]",69.68,0,0,0,4,1390,3,0,0
8.14,2,CIVIL,82.63,81.87,"[{""skill"": ""git"", ""level"": ""Beginner""}, {""skill"": ""ai"", ""level"": ""Advanced""}, {""skill"": ""node"", ""level"": ""Beginner""}, {""skill"": ""leadership"", ""level"": ""Advanced""}]",55.18,4,1,2,1,889,3,1,0
7.92,3,AIDS,70.38,67.88,"[{""skill"": ""figma"", ""level"": ""Intermediate""}, {""skill"": ""git"", ""level"": ""Intermediate""}, {""skill"": ""cybersecurity"", ""level"": ""Beginner""}, {""skill"": ""management"", ""level"": ""Expert""}, {""skill"": ""presentation"", ""level"": ""Advanced""}]",85.85,5,5,1,2,1410,0,2,1
9.51,4,IT,83.25,70.3,"[{""skill"": ""teamwork"", ""level"": ""Intermediate""}, {""skill"": ""java"", ""level"": ""Beginner""}, {""skill"": ""management"", ""level"": ""Intermediate""}]",61.91,6,3,3,3,1257,1,0,1
5.23,4,AIDS,80.64,76.65,"[{""skill"": ""communication"", ""level"": ""Intermediate""}, {""skill"": ""presentation"", ""level"": ""Beginner""}, {""skill"": ""node"", ""level"": ""Advanced""}]",87.3,2,1,2,3,1077,0,1,0
6.4,4,CYBER,68.62,62.04,"[{""skill"": ""excel"", ""level"": ""Intermediate""}, {""skill"": ""cybersecurity"", ""level"": ""Intermediate""}, {""skill"": ""leadership"", ""level"": ""Advanced""}]",39.6,0,1,2,2,800,0,1,0
9.75,3,CYBER,92.1,91.9,"[{""skill"": ""communication"", ""level"": ""Intermediate""}, {""skill"": ""testing"", ""level"": ""Advanced""}, {""skill"": ""management"", ""level"": ""Intermediate""}, {""skill"": ""excel"", ""level"": ""Intermediate""}]",49.35,1,4,1,4,800,1,1,0
9.45,4,MECH,91.02,84.75,"[{""skill"": ""presentation"", ""level"": ""Expert""}, {""skill"": ""communication"", ""level"": ""Advanced""}, {""skill"": ""cloud"", ""level"": ""Beginner""}, {""skill"": ""excel"", ""level"": ""Intermediate""}, {""skill"": ""html"", ""level"": ""Intermediate""}]",93.79,5,1,1,0,1300,2,1,1
7.28,0,IT,68.56,71.6,"[{""skill"": ""docker"", ""level"": ""Advanced""}, {""skill"": ""node"", ""level"": ""Advanced""}, {""skill"": ""teamwork"", ""level"": ""Beginner""}, {""skill"": ""management"", ""level"": ""Expert""}, {""skill"": ""react"", ""level"": ""Advanced""}]",52.06,4,3,0,4,1432,2,1,0
8.1,4,ECE,73.62,79.16,"[{""skill"": ""git"", ""level"": ""Beginner""}, {""skill"": ""data science"", ""level"": ""Advanced""}, {""skill"": ""ai"", ""level"": ""Advanced""}, {""skill"": ""dsa"", ""level"": ""Beginner""}]",67.86,1,5,3,1,1105,0,0,0
6.39,1,CYBER,74.5,74.34,"[{""skill"": ""management"", ""level"": ""Advanced""}, {""skill"": ""machine learning"", ""level"": ""Advanced""}, {""skill"": ""ai"", ""level"": ""Intermediate""}, {""skill"": ""css"", ""level"": ""Beginner""}]",52.99,5,1,0,5,1425,1,0,1
5.94,3,CSE,86.1,81.18,"[{""skill"": ""css"", ""level"": ""Intermediate""}, {""skill"": ""cloud"", ""level"": ""Beginner""}, {""skill"": ""git"", ""level"": ""Expert""}, {""skill"": ""java"", ""level"": ""Beginner""}]",30.95,6,4,0,0,945,3,2,1
7.32,1,CYBER,84.95,86.38,"[{""skill"": ""docker"", ""level"": ""Beginner""}, {""skill"": ""data science"", ""level"": ""Intermediate""}, {""skill"": ""dsa"", ""level"": ""Beginner""}, {""skill"": ""teamwork"", ""level"": ""Expert""}]",62.55,5,5,3,2,897,1,1,1
6.77,4,IT,80.44,89.91,"[{""skill"": ""figma"", ""level"": ""Intermediate""}, {""skill"": ""devops"", ""level"": ""Beginner""}, {""skill"": ""python"", ""level"": ""Advanced""}, {""skill"": ""management"", ""level"": ""Intermediate""}]",86.63,6,5,1,3,950,2,2,0
7.92,0,CSE,82.74,90.65,"[{""skill"": ""communication"", ""level"": ""Advanced""}, {""skill"": ""react"", ""level"": ""Advanced""}, {""skill"": ""excel"", ""level"": ""Expert""}]",87.15,3,5,0,3,1058,0,1,1
5.39,2,CSE,67.12,60.09,"[{""skill"": ""testing"", ""level"": ""Expert""}, {""skill"": ""teamwork"", ""level"": ""Intermediate""}, {""skill"": ""communication"", ""level"": ""Intermediate""}]",59.08,0,3,2,4,1238,3,1,1
9.87,5,CSE,83.81,76.6,"[{""skill"": ""react"", ""level"": ""Intermediate""}, {""skill"": ""data science"", ""level"": ""Advanced""}, {""skill"": ""communication"", ""level"": ""Advanced""}, {""skill"": ""git"", ""level"": ""Expert""}]",99.11,3,4,0,3,1382,2,1,0
9.93,5,MECH,78.99,70.49,"[{""skill"": ""react"", ""level"": ""Advanced""}, {""skill"": ""c++"", ""level"": ""Expert""}, {""skill"": ""docker"", ""level"": ""Expert""}, {""skill"": ""communication"", ""level"": ""Beginner""}, {""skill"": ""teamwork"", ""level"": ""Advanced""}, {""skill"": ""cybersecurity"", ""level"": ""Beginner""}]",55.96,4,2,3,4,1105,3,2,1
